batch_id,run_number,machine_type,boot_time_seconds,timestamp
batch-1770778801,1,e2-medium,49.74,2026-02-11T03:02:54Z
batch-1770778801,1,n2-standard-2,48.41,2026-02-11T03:04:47Z
batch-1770778801,2,e2-micro,64.43,2026-02-11T03:07:06Z
batch-1770778801,2,e2-medium,50.89,2026-02-11T03:09:13Z
batch-1770778801,2,n2-standard-2,45.26,2026-02-11T03:11:02Z
batch-1770778801,3,e2-micro,49.90,2026-02-11T03:12:56Z
batch-1770778801,3,e2-medium,44.79,2026-02-11T03:14:41Z
batch-1770778801,3,n2-standard-2,49.66,2026-02-11T03:16:27Z
batch-1770778801,4,e2-micro,45.42,2026-02-11T03:18:13Z
batch-1770778801,4,e2-medium,47.80,2026-02-11T03:20:06Z
batch-1770778801,4,n2-standard-2,49.54,2026-02-11T03:22:03Z
batch-1770778801,5,e2-micro,47.04,2026-02-11T03:23:53Z
batch-1770778801,5,e2-medium,50.71,2026-02-11T03:25:48Z
batch-1770778801,5,n2-standard-2,40.14,2026-02-11T03:27:24Z
batch-1770789601,1,e2-micro,48.62,2026-02-11T06:00:50Z
batch-1770789601,1,e2-medium,88.93,2026-02-11T06:03:31Z
batch-1770789601,1,n2-standard-2,45.33,2026-02-11T06:05:22Z
batch-1770789601,2,e2-micro,59.60,2026-02-11T06:07:26Z
batch-1770789601,2,e2-medium,51.66,2026-02-11T06:09:22Z
batch-1770789601,2,n2-standard-2,46.92,2026-02-11T06:11:14Z
batch-1770789601,3,e2-micro,55.33,2026-02-11T06:13:13Z
batch-1770789601,3,e2-medium,46.82,2026-02-11T06:15:05Z
batch-1770789601,3,n2-standard-2,103.98,2026-02-11T06:17:52Z
batch-1770789601,4,e2-micro,43.56,2026-02-11T06:19:41Z
batch-1770789601,4,e2-medium,51.34,2026-02-11T06:21:37Z
batch-1770789601,4,n2-standard-2,48.20,2026-02-11T06:23:30Z
batch-1770789601,5,e2-micro,48.44,2026-02-11T06:25:22Z
batch-1770789601,5,e2-medium,46.79,2026-02-11T06:27:14Z
batch-1770789601,5,n2-standard-2,45.03,2026-02-11T06:28:55Z
